السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,68,,,,,,,,,,
2025,2,منطقة نجران,إصلاح وتركيب الآلات والمعدات,صغيرة,3,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,22,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,154,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,5,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,2,منطقة عسير,إصلاح وتركيب الآلات والمعدات,صغيرة,2,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,صغيرة,28,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,كبيرة,2,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,كبيرة,2,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,كبيرة,3,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,كبيرة,1,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,679,,,,,,,,,,
2025,2,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,43,,,,,,,,,,
2025,2,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,70,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,54,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1890,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,631,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,253,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,142,,,,,,,,,,
2025,2,منطقة جازان,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,287,,,,,,,,,,
2025,2,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,71,,,,,,,,,,
2025,2,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,211,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,890,,,,,,,,,,
2025,2,منطقة نجران,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,83,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,27,,,,,,,,,,
2025,2,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,417,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,16,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة حائل,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,4,,,,,,,,,,
2025,2,منطقة عسير,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متناهية الصغر,20,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متوسطة,5,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متوسطة,8,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,متوسطة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متوسطة,2,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,متوسطة,10,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,متوسطة,19,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,متوسطة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح وتركيب الآلات والمعدات,متوسطة,10,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,2,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,12,,,,,,,,,,
2025,2,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,6,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,3,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,2,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,20,,,,,,,,,,
2025,2,منطقة الباحة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة الجوف,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,84,,,,,,,,,,
2025,2,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,4,,,,,,,,,,
2025,2,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,11,,,,,,,,,,
2025,2,منطقة تبوك,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,7,,,,,,,,,,
2025,2,منطقة جازان,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,7,,,,,,,,,,
2025,2,منطقة حائل,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,2,منطقة عسير,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,6,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,76,,,,,,,,,,
2025,2,منطقة نجران,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,3,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,14,,,,,,,,,,
2025,2,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,6,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متوسطة,1,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الأمن والتحقيقات,صغيرة,2,,,,,,,,,,
2025,2,منطقة جازان,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الأمن والتحقيقات,صغيرة,3,,,,,,,,,,
2025,2,منطقة عسير,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,كبيرة,2,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الأمن والتحقيقات,كبيرة,1,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متناهية الصغر,6,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الأمن والتحقيقات,متناهية الصغر,17,,,,,,,,,,
2025,2,منطقة القصيم,أنشطة الأمن والتحقيقات,متناهية الصغر,4,,,,,,,,,,
2025,2,منطقة المدينة المنورة,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة تبوك,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة جازان,أنشطة الأمن والتحقيقات,متناهية الصغر,2,,,,,,,,,,
2025,2,منطقة حائل,أنشطة الأمن والتحقيقات,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,متناهية الصغر,7,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متناهية الصغر,2,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الأمن والتحقيقات,متناهية الصغر,4,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أنشطة الأمن والتحقيقات,متناهية الصغر,2,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الأمن والتحقيقات,متوسطة,2,,,,,,,,,,
2025,2,المنطقة الشرقية,أنشطة الاستخدام,صغيرة,14,,,,,,,,,,
2025,2,منطقة الجوف,أنشطة الاستخدام,صغيرة,3,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
2025,2,منطقة الرياض,أنشطة الاستخدام,صغيرة,30,,,,,,,,,,
2025,2,منطقة القصيم,أنشطة الاستخدام,صغيرة,5,,,,,,,,,,
2025,2,منطقة المدينة المنورة,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
2025,2,منطقة تبوك,أنشطة الاستخدام,صغيرة,2,,,,,,,,,,
